place_id,type,city,address,latitude,longitude
13f09a6f-fb5d-44b0-8fbe-ac5a60185c43,food,گوگان,آذربایجان شرقی، آذرشهر، دانشگاه مدنی آذربایجان، فرهنگ، صائب تبریزی,37.8116977,45.945295
143eada8-38d6-4d95-9af9-fd9852143cd6,food,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر، مخابرات,38.05624,46.3615913
1448dfd6-b307-4258-ae22-6b48df76c65f,food,بناب,آذربایجان شرقی، بناب، خیابان مطهری، خیابان زرگران,37.3377494,46.056488
149574f6-f73a-4468-986a-88f75881025d,food,تبریز,آذربایجان شرقی، تبریز، عمران ملی,38.0608558,46.3757324
14a15be1-f136-4c1a-b720-ccd09d2ae013,hospital,آذرشهر,آذربایجان شرقی، آذرشهر، امام,37.7632975,45.9758092
14aa40c7-4b88-4be7-a72c-b1c3ddfbed5d,food,تبریز,آذربایجان شرقی، تبریز، عطار نیشابوری,38.053997,46.3210716
153db2a1-26ab-5088-8126-8d49b83999a7,entertainment,بخشایش,آذربایجان شرقی,38.131648,46.9471214
15420bde-3734-4dd8-b39b-73bf3acafbb5,hospital,خسروشاه,آذربایجان شرقی، خسروشاه، خیابان امام شمالی، خیابان شهید مطهری، کوچه لادن,37.9528218,46.0508605
1592bc59-4ccf-4c3b-bb5b-e52dff2a71c4,food,شبستر,آذربایجان شرقی، شبستر، بزرگراه سلماس-شبستر، پاسداران، بلوار امام خمینی,38.1814155,45.7006607
15b60db7-c0f3-4445-973c-be43bdd640d2,food,تبریز,آذربایجان شرقی، تبریز، محله رشدیه، بلوار بهارستان,38.078238,46.3622121
15e44c78-0a49-5d30-830e-3a9f1938bf0e,entertainment,الوند,قزوین,36.1865866,50.064134
15faeb50-d8d9-477d-91a6-88225e0c1092,food,تبریز,آذربایجان شرقی، تبریز، محله رجائی شهر، شهید روحانی,38.046762,46.3464324
1614691d-8ae9-5bb0-8c81-bf2f919cef8b,entertainment,ادیمی,سیستان و بلوچستان,31.1159553,61.4082693
1675224e-23a3-4f1a-8736-0412b2dd2091,food,باسمنج,آذربایجان شرقی، محله باغمیشه، دانشگاه شمالی، شهید حسن کربلایی، معلم,38.0572662,46.3844566
