city_id,name_fa,name_en,province_id,latitude,longitude
540,طبقده,Tabaqdeh,27,36.7628448,53.2031412
541,زیار,Ziar,4,32.5094459,51.9378864
542,حکم آباد,حکم آباد,11,36.6299442,57.6006154
543,رادکان,Radkan,11,36.8019867,59.0108024
544,ریواده,Rivadeh,11,36.7917484,57.1128414
545,شامکان,Shamkan,11,35.9985465,58.2012327
546,نسر,Nasar,11,35.5224154,59.4418389
547,گرماب,Garmab,11,36.2378563,58.4304173
548,شهرکهنه,Shahr-e Kohneh,11,37.1405865,58.3915645
549,جنت آباد,جنت آباد,11,35.5986509,61.1406189
550,ایور,Ivar,12,36.9696847,56.2592355
551,غلامان,غلامان,12,38.0580601,57.1421526
552,یکه سعود,Yekesowut,12,38.1732277,56.6905627
553,قوشخانه,Qush Khaane,12,37.74552,57.7216016
554,تاتار علیا,Tatar Olya,24,37.1106388,55.049172
555,هچیرود,Hachirood,27,36.6879365,51.3452585
556,پایین هولار,Pain Hular,27,36.4284939,53.1350757
557,اصغرآباد,Asgharabad,4,32.6516875,51.4838278
558,بیده,Bideh,4,30.9469408,51.6517419
559,شاپورآباد,Shahpurabad,4,32.8438053,51.744414
560,فتح آباد,Fathabad,4,31.6020835,51.5426261
561,کمشچه,Komeshcheh,4,32.9055468,51.809343
562,شاندرمن,شاندرمن,25,37.4052992,49.1192822
563,انگوت,Tazeh Kand-e Angut,3,39.045299,47.7448756
564,آشار,Ashar,16,26.6791794,61.6711329
565,ده رئیس,Deh Raeis,16,27.6740222,61.0303887
566,ساربوک,Sarbuk,16,26.1924584,60.5955394
567,سرجنگل,Sarjangal,16,28.8827191,60.4054856
568,سیب,Sib,16,27.240525,62.0744874
569,قاسم آباد,Ghasemabad,16,27.1781313,60.3271033
570,محمدان,Mohammadan,16,27.2023277,60.5616428
571,پارود,Paroud,16,26.3705451,61.2897094
572,پلان,Pollan,16,25.5967262,61.1018603
573,چانف,Chaanf,16,26.6434206,60.4982037
574,چگردک,Chegerdak,16,27.087957,59.1148461
575,کتیج,Kotij,16,26.7229867,59.1377198
576,آبگرم,Ab-e Garm,18,35.7572894,49.2849077
577,زرین شهر,Zarrinshahr,4,32.3887062,51.3737142
578,لالی,Lali,13,32.3306321,49.0944
579,گل گیر,Golgir,13,31.7647539,49.4983012
580,جانانلو,Janan Lu,1,39.1207215,46.8801138
581,اندوهجرد,Anduhjerd,21,30.2315368,57.751371
582,باغین,Baghein,21,30.187107,56.8176548
583,دشتکار,دشتکار,21,29.9067856,56.6622281
584,دوساری,Dow Sari,21,28.4292459,57.9423801
585,رحمت آباد,رحمت آباد,21,28.6430281,59.0613728
586,نودژ,Nowdezh,21,27.5267475,57.4574925
587,علی آباد (ارزوئیه),Aliabad,21,28.3590613,56.8670682
588,گنبکی,Gonbaki,21,28.7222475,58.8664914
589,جبالبارز,Jebalbarez,21,28.9071346,57.8852472
590,مردهک,Mardehek,21,28.3517264,58.1586637
591,خواجو شهر,Khaju Shahr,21,29.2730974,55.8314812
592,چاه دادخدا,چاه دادخدا,21,27.2848776,58.264468
593,چاه مرید,چاه مرید,21,27.9413066,57.555145
594,کشکوییه,Kashkuiyeh,21,28.9664277,56.5910897
595,بخ,Bakh,31,31.3074404,54.0857719
596,تیرور,"Tirur, Iran",29,27.3396747,56.9567463
597,رمکان,Ramkan,29,26.86722,56.0401774
598,زهوکی,Zehuki,29,27.0780396,57.0629659
599,سرگز,سرگز,29,27.9398953,56.662752
600,شمیل,Shamil,29,27.5013686,56.8639336
601,قلعه قاضی,Ghal-e Ghazi,29,27.4455968,56.5450429
602,بندر لافت,Bandar Laft,29,26.8996326,55.7607834
603,هنگویه,Henguiyeh,29,27.0686333,54.0086692
604,کرگان,Kargan,29,26.9540614,56.9525924
605,کهورستان,Kohurestan,29,27.2110594,55.5553067
606,گروگ,Garuk,29,26.5877269,57.0926598
607,ارد,Arad,17,27.7293279,53.6246366
608,اهل,Ahel,17,27.2112114,53.6588384
609,بیدشهر,Beedshehr,17,27.9826872,53.7396128
610,خانیمن,Khaniman,17,30.3500901,52.2416315
611,خوزی,Khuzi,17,27.4480198,52.9723728
